Title,Author,Year,Updated,Tags
"Landing Gear","Kate Pullinger",2014,"10/28/2018 - 17:47","collective narrative, web narrative, web project"
"Seven Stories About Drones","Teju Cole",2013,"10/28/2018 - 17:27","twitter-poem, twitter, network narrative"
"Bloomsday on Twitter","Ian Bogost",2007,"10/28/2018 - 16:12","twitterfiction, network writing"
"Poems About Trees","K. Silem Mohammad",2009,"10/28/2018 - 15:17","poetry, flarf"
"I Google Myself","Mel Nichols",2009,"10/28/2018 - 15:13","poetry, flarf"
wwwwwwwww.jodi.org,JODI,2001,"10/28/2018 - 14:37","net.art, codework, programming language, ASCII art, hacking"
"The Pub and the People: A Worktown Study",Mass-Observation,1987,"10/28/2018 - 13:43","Mass-Observation movement, social survey"
"May the Twelfth: Mass Observation Day Surveys 1937 by Over Two Hundred Observer",,1987,"10/28/2018 - 13:37","Mass-Observation movement, social survey"
"The Word Made Flesh","Johanna Drucker",1989,"10/28/2018 - 13:10","artist book, typography, embodied language"
"Drone Pilot","Ian Hatcher",2015,"11/26/2019 - 20:26","live performance, digital kinetic poetry, vinyl"
"The Complete Maus, a Survivor’s Tale","Art Spiegelman",1994,"10/16/2018 - 17:11","collection, graphic novel"
"The Gates of Paradise","David Daniels",2000,"10/16/2018 - 16:41","concrete poetry, shape, typography"
"Negative Thoughts","W. Mark Sutherland",2012,"09/05/2019 - 14:36","vispo, typography"
"Zang Tumb Tumb","Filippo Tommaso Marinetti",1914,"10/13/2018 - 16:36","sound poetry, concrete poetry, typography, avant-garde, futurism, artist book"
Silencio,"Eugen Gomringer",1953,"10/13/2018 - 15:50","concrete poetry"
Konstellationen,"Eugen Gomringer",1953,"10/13/2018 - 15:47","concrete poetry"
ovonovelo,"Augusto de Campos",1956,"10/13/2018 - 15:33","Brazilian concrete poetry, visual poetry"
"Cosmic Chef: An Evening of Concrete",,1970,"10/13/2018 - 15:15","visual poetry, concrete poetry"
"The Temple","George Herbert",1633,"10/10/2018 - 15:11","verse poetry, welsh poetry"
"Gone Home","Steve Gaynor",2013,"10/30/2018 - 10:23","first person experience, exploration, lgbt, home, interactive, mystery, teenage rebellion, marital strife, love, storytelling"
"Howling Dogs","Porpentine Charity Heartscape",2012,"09/25/2019 - 15:06","hypertext, interactive fiction, computer game, abject, virtual reality"
"Their Angelic Understanding","Porpentine Charity Heartscape",2013,"11/22/2019 - 19:53","hypertext, interactive fiction, computer game, angels, gender, body disphoria"
Rendition,nespresso,2007,"10/09/2018 - 12:09","interactive fiction computer game, espionage"
"Counterfeit Monkey","Emily Short",2012,"10/09/2018 - 12:01","interactive fiction computer game, espionage"
Trinity,"Brian Moriarty",1986,"10/09/2018 - 11:39","interactive fiction computer game"
"Sherlock: The Riddle of the Crown Jewels","Bob Bates",1987,"11/23/2019 - 12:42","interactive fiction computer game, interactive fiction, detective story, adaption, fictional history, mystery"
"The Witness","Stu Galley",1983,"10/09/2018 - 11:28","interactive fiction computer game"
"Leather Goddesses of Phobos","Steve Meretzky",1986,"10/09/2018 - 11:22","interactive fiction computer game"
"The Days at Florbelle","Roman Kalinovski",2015,"10/05/2018 - 13:51","video game, RPG, platform, lost works"
"Silent Voices","David Vincent",,"10/05/2018 - 13:42",
"Style Guide for Erasing Human Dignity","Laura Zaylea",2018,"11/03/2018 - 17:03","USA, interactive, poetry, text, pictures, application, political climate"
"The Unknown: An Anthology","Scott Rettberg, Dirk Stratton, Frank Marquardt, William Gillespie",2012,"10/03/2018 - 18:35","collaborative hypertext, fiction, collection"
"The Collected Stories of Lydia Davis","Lydia Davis",2010,"10/04/2018 - 10:01","american contemporary literature, short fiction, micronarrative, compression, fragmentation"
Ava,"Carole Maso",1993,"10/03/2018 - 16:33","postmodernism, contemporary american literature"
"This Is Not a Novel","David Markson",2001,"10/03/2018 - 13:42","experimental literature, postmodernism, american fiction"
"Wittgenstein’s Mistress","David Markson",1988,"10/03/2018 - 13:32","experimental fiction, philosophical fiction, postmodernism"
"Memories of My Father Watching TV","Curtis White",1998,"10/03/2018 - 13:15","postmodernism, American literature, postmodern fiction"
"A Night at the Movies, or, You Must Remember This","Robert Coover",1992,"10/03/2018 - 13:09","american fiction, postmodern literature, American literature"
"Infinite Jest","David Foster Wallace",1996,"10/03/2018 - 12:59","hysterical realism, satire, post-postmodernism"
"Lost in the Funhouse","John Barth",1968,"10/03/2018 - 12:53","short stories, post-modern, metafiction"
"Issue 1: fall 2008","Erica T. Carter",2008,"10/02/2018 - 23:15","poem, compilation, poem generator"
"Babel poésie","Jean-Pierre Balpe",2003,"10/02/2018 - 22:53","poetry generator"
"La mort dans l'âme","Jean-Pierre Balpe",1993,"10/02/2018 - 22:51","computer generated book"
"12 Piano Compositions for Nam June Paik","George Maciunas",1962,"10/02/2018 - 21:38",mimeograph
"La Disparition","Georges Perec",1969,"10/02/2018 - 21:14","lipogram, Oulipo"
"I Am That I Am","Brion Gysin",1959,"10/02/2018 - 21:05","sound poetry"
"Minutes to Go","Brion Gysin",1960,"10/02/2018 - 21:01",
Sentence,"Donald Barthelme",1969,"10/02/2018 - 19:15","sentence, postmodernism, constraint, formal experimentation"
"Empire of the Senseless","Kathy Acker",1988,"10/02/2018 - 18:08","postmodernism, apocolyptic, overwriting, plagiarism"
"Breakfast of Champions","Kurt Vonnegut",1973,"10/02/2018 - 16:52","intertextuality, diegesis, postmodernism"
"Sexing the Cherry","Jeanette Winterson",1989,"10/02/2018 - 16:27","intertextuality, postmodernism, feminism"
"Pricksongs and Descants","Robert Coover",1969,"10/02/2018 - 16:05","postmodernism, fiction, fairytales, intertextuality"
"The Life and Times of Tristram Shandy, Gentleman","Laurence Sterne",1759,"10/02/2018 - 14:51","materiality, book as object, authorial intrusion"
Ulysses,"James Joyce",1922,"10/02/2018 - 14:30","modernism, The Odyssey, intertextuality, stream-of-consciousness"
"Mrs. Dalloway","Virginia Woolf",1925,"10/02/2018 - 14:17","modernism, interiority"
"To the Lighthouse","Virginia Woolf",1910,"10/02/2018 - 12:55","modernism, subjectivity, multiple focalization"
Eyecode,"Golan Levin",2007,"10/01/2018 - 19:19","Eye tracking, face tracking, Interactive art, computer art, installation, video recording, blink detection, blink detector, recursion, typography, writing, cursor, viewing, observation, eyes"
"High Muck a Muck: Playing Chinese","Nicola Harwood, Thomas Loh, Fred Wah, Bessie Wapp, Jin Zhang",2014,"09/03/2019 - 15:15","interactive poem, chinese, history, immigration, Canada, intercultural exchange, non-linear narrative, music, animated, poetry"
TimeTraveller™,,2018,"11/25/2019 - 12:03","bibliographic history, future, fictional time, journey, virtual reality, 3D, digital environments"
"The Waste Land","Thomas Stearns Eliot",1922,"09/26/2018 - 16:37","modernism, poetry"
"Finnegan's Wake","James Joyce",1939,"09/26/2018 - 16:00","modernism, avant garde, experimental literature"
"Tech-illa Sunrise: Un/A Remix","Salvador Barajas",2018,"09/26/2018 - 15:56","identities, archival images"
"Blocked Connections","Anastasia Salter",2018,"12/03/2018 - 15:49","qr, codes, visual, narrative, networks, interactive"
Vernissage,"Bertrand Gervais",2018,"11/03/2018 - 17:48",
"Audiographe In Situ #1","Mickaël Lafontaine",,"12/03/2018 - 15:48","voice, soundscape, geolocalized, rhythm, intensity, interactive"
"The Aberration of the Translator","Qianxun Chen, Theadora Walsh, Lucas Baisch",2018,"11/25/2019 - 12:02","virtual reality, communication, Language art, language, text, audio"
"Coral Short & Visionaries","Angela Gabreau",2018,"10/22/2018 - 10:26","future, tutorials, performance., heteronormative visual novels, prejudice"
"Où est la marche / Where is the step ?","Boris Du Boullay, Delphine Gauly, Lucie Plançon, Héloïse d’Almeida, Marjorie Terral, Guillaume Verguin",2018,"11/01/2018 - 10:27","interaction, interactive"
"The Fall","Alan Bigelow",2015,"10/17/2020 - 12:58","archetype, symbols, plot, autobiographical, narrative, life story, online interactions, audio drama"
Selfiepoetry,"Alex Saum-Pascual",2018,"10/24/2018 - 02:28","poem, poetry, digital poetry, selfie, online"
"Let’s Play: Ancient Greek Punishment: CPU Edition!","Pippin Barr",2018,"09/23/2019 - 12:41","video game, ancient Greek, code, animated gif, greek mythology, repetition, punishment, loop, CPU"
"The Listeners","John Cayley",,"11/26/2019 - 17:19","Aurature, surveillance, AI, app, skill, audio installation"
Infiltation,"Chris Funkhouser",2018,"12/07/2018 - 09:52",
"TOPO_Trajectoires 20 ans de présence en art et littératures numériques","Michel Lefebvre, Eva Quintas",2018,"09/26/2018 - 15:37","digital art, multimedia, theatre, visual arts, audio, public space, media art"
"The Winnipeg : The Poem That Crossed the Atlantic","María Mencía",,"11/12/2019 - 14:53","poem, historical events, Spanish Civil War, Alexandre Dupuis-Belin, interactive, history"
"Poétique de la post-humanité","Philippe Boisnard",2018,"09/26/2018 - 15:34","poetry, post-humanity, digital work, French digital poetry"
Sixteen,"Harriet Fisher, Stella-Charles Fisher",2018,"12/03/2018 - 15:40","web-based, interconnected story"
Sacrosanct,"Istvan Chung",,"11/01/2018 - 10:38","interactive, fiction, playful, transgression, interaction"
"Synthetic Empathic Intelligent Companion Artefacts (SEICA) Human Interaction Labs","Laura Hyunjhee Kim",2018,"11/03/2018 - 17:10","transmedia narrative, hypertext, fiction, science, technology, perception"
"Rolled Hem or Nadine","Christy Sheffield Sanford",,"09/26/2018 - 15:23","horror, multimedia"
"Máquina Do Desassossego [ Machines of Disquiet]","Luís Lucas Pereira",2018,"10/23/2018 - 12:50","web applications, book of disquiet, digital objects, rewriting"
"Salt Immortal Sea 2","Mark C. Marino",2018,"11/09/2020 - 13:53","Homer, allegory, The Odyssey, immigrants, refugees, travel, interactive, perspective"
"Institute for Southern Contemporary Art","Erica Love, João Enxuto",2018,"09/26/2018 - 15:57","art, dystopia"
"Rewriting, Relearning : Creative Collaborations in the Digital Humanities","Erik Loyer",,"09/26/2018 - 15:20","experimental writing, workshop, digital humanities"
"Las piedras del camino","Anna Dot",2018,"09/26/2018 - 15:19","spanish, Cervantes, Don Quijote, design"
"Wuxia le renard","Jonathan Bélisle",2014,"11/03/2018 - 17:59","interactive, art and technology, environmental storytelling, children apps, interaction"
"Berlin Remix","Jim Bizzocchi, Justine Bizzocchi",,"09/26/2018 - 15:18","video installation, deconstructed film, short films, database, randomly-generated film, algorithmic operations, City Film, work, recreation, culture, class, sequencing pattern, editing pace, transition choice, visual treatment"
"OTTARAS: 2CONCRETE","Ottar Ormstad, Taras Mashtalir",2018,"11/03/2018 - 12:21","poetry, digital poetry, poetry tracks, sound poetry"
Replicant,"Mehitabel Glenhaber",,"09/26/2018 - 15:17","sci-fi, fiction, identity"
"The Automatic Writing Machine","Christopher Boucher",2018,"09/26/2018 - 15:13",
"Fractalize 1: I've loved you from afar","Tony Vieira",2018,"12/03/2018 - 15:35","hypermedia, fiction, video, audio, multimedia"
"Why did you cry when you read that poem","Fulla Abdul-Jabbar",2018,"09/26/2018 - 15:37","poem, feelings, live-performance"
"Remixing Shakespeare : Witch Hunts! Power Plays! & Uses of Adversity. A Netprov in Three Acts","Joellyn Rock",2016,"11/11/2019 - 14:35","Video vignettes, William Shakespeare, power-play, social media, netprov"
"It Must Have Been Dark By Then","Tom Abba, Duncan Speakman",2018,"11/02/2018 - 18:11","audio experience, music, narration, environments, audio guides, interaction, interactive"
"Pacific Surfliner: San Juan Capistrano","M. D. Coverley",2017,"04/18/2021 - 22:19","video, hyperfiction, Pacific Surfliner trains, Southern California beaches, train journey, local history"
"Our Cupidity Coda","Mez Breeze",2018,"11/03/2018 - 13:26","VR Literature, introspection, impersonality, intimate"
"Concert by Fonofone","Yves Daoust, Benoît Côté",,"09/26/2018 - 15:05",
"The Forever Club","Alan Bigelow",2018,"10/09/2020 - 12:02","Forever club, web comedy, characters, digital story"
"EMAJI NARATGEE MARAKKA. a Game and a Fable","Stuart Moulthrop",2018,"12/03/2018 - 15:32","game, counter-game"
"Dispersed Digital Poetry Project","Jason Nelson",2018,"12/03/2018 - 15:31","dispersed, digital poetry, mouse-followed, 3D, interactivity, collective hypertext"
"Cyborgs in the Mist","Stéphane Degoutin, Gwenola Wagon",2018,"09/21/2019 - 23:18","movie, sound installation, maps, AI, humankind, evolution, future, science fiction, transmediation, fiction"
"Articulation: Poems from Phonetic Similarity Vector Space","Allison Parrish",2018,"10/31/2018 - 15:21","poems, computer program, linguistic features, recreation"
RERITES,"David Jhave Johnston",2018,"05/25/2021 - 19:13","poetry, texts, machine-generated, hybrid writing, rewriting"
"The Several Houses of ....","Zach Whalen",2017,"11/19/2018 - 15:47","author's reading, novel, The Several Houses of, Python, fiction, visuals, text, NaNoWRiMo 2017, combinatory literature"
HeartBeats,"Laura Okkema",2018,"11/09/2020 - 13:54","Stress, mindful, scholarly context, HeartBeats, interactive"
"Damocles 2","Jules Deslandes",2018,"12/03/2018 - 15:30","democles, video game"
StoryFace,"Alexandra Saemmer, Serge Bouchardon",2018,"11/09/2020 - 13:56","story, face, love, emotions, performance, chat, meet, artificial intelligence, interaction, interactive"
CHOEUR,"Simon Dumas",2018,"10/18/2018 - 18:16","poets, typographic animation, installation"
Gymnasion,"Kyle Booten",,"09/26/2018 - 14:55","Gymnasion, education, test"
Cenzobot,"Piotr Marecki",2018,"10/31/2018 - 15:38","cenzorship, twitter, social network, communism, recombination"
Alphautre,"Rodrigo Velasco",2018,"09/26/2018 - 14:57",
"Inside my gorge","Judd Morrissey, Abraham Avnisan",,"09/26/2018 - 14:55","queer, 3D, real-time poem, textual architecture"
"Circa 1948","Stan Douglas",2014,"09/26/2018 - 13:34","virtual art, virtual reality, Vancouver"
"Smog Poem","Leszek Onak",,"09/26/2018 - 12:58","smog, pollution, algorithm"
"Cuéntanos un secreto","Augusto Vinicius Marquet",2012,"09/26/2018 - 12:01","secret, workshop, communitiy"
regenerative,"Eugenio Tisselli",2005,"09/19/2018 - 16:04","degenerative, regenerative, interactive"
S/Z,"Roland Barthes",1970,"09/26/2018 - 09:07","methodology, structuralism, post-structuralism, literary criticism"
"The LiveJournal of Zachary Marsh","Matthew Baldwin",,"09/19/2018 - 16:00",
"A Thousand Plateaus","Gilles Deleuze, Félix Guattari",1980,"09/26/2018 - 09:08","philosophy, book, post-structuralism, post-postmodernism, print media, French"
"Archäologie der literarischen Kommunikation, II","Aleida Assmann, Jan Assmann",1987,"09/26/2018 - 09:10","culture, methods, technical and historical contexts, challenges, censorship, communication practices"
"Queers in Love at the End of the World","Anna Anthropy",2013,"11/06/2019 - 16:08","hypertext, game, virtual, user participation"
"Notes on Blindness","Peter Middleton, James Spinney",2016,"09/12/2018 - 15:38","virtual reality, short film"
"Online Work: ""Bicycle Built For Two Thousand"" by Aaron Koblin and Daniel Massey","Aaron Koblin, Daniel Massey",2009,"10/26/2018 - 12:40","digital work, online work, audio clips, international, voice recordings, Daisy Bell, web browsers, United States, India, Canada, United Kingdom, Macedonia, Philipppines, Germany, Romania, italy, Pakistan"
"Words We Never Wrote","Tom Abba, Alyssia White",2018,"11/03/2018 - 17:52","ambient literature, creative storytelling, narrative"
"La literatura digital en el aula de ELE: Intertexto, hipertexto e interculturalidad","Nohelia Meza",2012,"09/21/2020 - 12:25","electronic literature, Digital, education, Didactic, use, research and creation"
"CODE STORY","Ted Warnell",2005,"09/12/2018 - 15:17","code, HTML, visual and literary art, codestory, interpretation, generative art"
"Inner Telescope","Eduardo Kac",2017,"10/22/2018 - 13:23","outer space, poetry, art, 3D, origami"
"You're On","John Thomas Murray",2018,"11/25/2019 - 22:08","face recognition, expressions, synthetic, interaction, interactive"
"It Must Have Been Dark by Then","Tom Abba, Duncan Speakman",2018,"11/02/2018 - 18:13","audio experience, music, narration, audio guide, enviroment"
"The Cartographer’s Confession","James Attlee",2017,"09/03/2019 - 15:19","ambient literature, narrative"
"PhoneMe: A mobile phone-native genre of poetry for the social media age","Kedrick James, Yuya Takeda, Ernesto Peña",2018,"09/05/2018 - 15:58","PhoneMe, poetry"
"Holojam In Wonderland","David Gochfeld",2017,"11/04/2018 - 11:04","theater, AR, retell"
PhoneMe,,,"09/05/2018 - 15:25","PhoneMe, project, poetry"
"At, Or To Take Regret: Some Reflections on Grammars",,2016,"08/26/2019 - 13:00","grammar, semantic grammar, animated poetry"
"Not Sold in Stores: The Commercialization Potential of Digital Fiction","Lyle Skains",2018,"11/03/2018 - 12:10","digital fiction, digital games"
"Populist Modernism: Printed Instagram Poetry and the Literary Highbrow","Kathi Inman Berens",2018,"09/26/2018 - 09:14","modernism, instagram, poetry, digital literature"
"Arriving Simultaneously on Multiple Far-Flung Systems","Judy Malloy",2018,"11/12/2019 - 14:55","generative text, computer history, technology, feminism, hypertext, punch cards, space exploration, virtual reading machine, on-the-fly, randomly-generated texts, WWII, women programmers, history, generative"
"NeuroSpeculative AfroFeminism","Ashley Baccus-Clark, Carmen Aguilar y Wedge, Ece Tankal, Nitzan Bartov",2017,"08/20/2020 - 10:49","Experience Design, virtual reality, Product Design, afrofuturism, Arts and Culture, beauty, fashion, gender, science"
"Her Story","Sam Barlow",2015,"09/02/2018 - 14:26","indie game, interactive film, detective"
"Se souvenir des morts","John F. Barber",2016,"11/25/2019 - 01:06","death, education, translation"
"Plato’s Phaedrus: a Memory Pharmacy",,,"08/29/2018 - 15:51",
"Tales of Automation","Will Luers",2018,"09/13/2019 - 10:49","narrative, automation, loop, text, video"
Robopoem@s,"Tina Escaja",2016,"03/12/2021 - 03:55","robots, poetry, augmented reality, robotics"
"Mora amor","Tina Escaja",2017,"08/29/2018 - 15:16","performance, love, poetry, interactive artwork, digital poetry, spanish"
"Młodość 1861 liter później","Leszek Onak",2016,"08/21/2018 - 11:37",e-poetry
"Hand Lamb or Ham Hockery","Cal LaFountain",2018,"09/26/2018 - 14:54",
"Show's Over: A Creditable Fiction","Stuart Moulthrop",2016,"09/11/2018 - 21:01","disruptive, computer-generated text, creative storytelling"
"Kim Kardashian's Marriage","Sam Riviere",2015,"08/13/2018 - 21:43","computer generated poetry, computer-generated poetry"
"The Underground Railroad","Colson Whitehead",2016,"08/21/2018 - 11:39",
Aphasiasms,"Patrick Lichty",1999,"08/28/2018 - 13:44",
"Magic Realism Bot","Chris Rodley, Ali Rodley",2015,"08/28/2018 - 13:37","twitter-poem, twitterbot, computer-generated poetry, computer generated poetry, twitter"
"Paige & Powe","David Thomas Henry Wright",2017,"08/29/2018 - 14:47","palimpsest, found texts, comic, non-linear reading, fictional narrative"
Penelope,"Alejandro Albornoz, Roderick Coover, Scott Rettberg",2018,"11/04/2018 - 17:29","combinatory cinema, factorial literature, generative, music, poetry, sonnet, constraint based writing, recombination"
"picking figs in the ˚̥̞̞̽̽ͯ garden while my world eats Itself","Everest Pipkin",2015,"08/13/2018 - 20:47","poetry, bots, generative drawing"
YELLOWFLOWERPOWER,"Ottar Ormstad",2017,"08/13/2018 - 21:38","concrete poetry, poetry film, electronic poetry, letter-carpets, flower power, yellow poetry, charles lloyd, mick jagger, gustav vigeland, vigelandsparken, frognerparken, edvard munch"
"The Guide to Nonexistent Birds: an Ornithological Logic","Kavi Duvvoori",2017,"07/19/2021 - 14:01","logic, ornithology, taxonomy, prolog, constraint, fibonacci, birds"
"A thoroughfare [] beat Across the wilderness","Everest Pipkin",,"08/13/2018 - 20:30","geography, internet, infrastructure, photography, google maps"
"_Internal Damage Report_","Mez Breeze",1999,"08/11/2018 - 23:26","codework, net art, web art, new media, mezangelle, epoetry, poetry, multimedia storytelling, digital art, digital fiction"
"OK Texts","Mark Amerika",1999,"08/28/2018 - 13:41","hypertext, essay, animated gifs"
Lagunas,"Milton Läufer",2015,"07/10/2018 - 00:17","algorithmic text generation"
DEViCE6,"Simon Flesser, Magnus ""Gordon"" Gardebäck",2013,"06/15/2018 - 20:54",
"The Silent History","Eli Horowitz, Kevin Moffett, Matthew Derby, Russell Quinn",2012,"06/15/2018 - 20:47",
"A Place Called Ormalcy","Mez Breeze",2018,"09/03/2019 - 15:28","VR Literature, AR, XR Digital Storytelling, fiction, 3D, audio"
"Our Cupidity Coda","Mez Breeze",2017,"06/01/2018 - 23:12","VR Literature, electronic literature, virtual reality, AR, XR"
"Digital Culture World Lecture Tour","Talan Mohamed Memmott",2014,"11/07/2019 - 17:04","netprov, performance. social network"
"Ruczaj - cyberżulerska gra ekonomiczna","Leszek Onak",2015,"12/02/2018 - 13:55","game, interactive story, simulator, social media, boredom, suburbs, economics"
"Góngora Wordtoys (Soledades)","Belén Gache",2011,"11/06/2018 - 15:46","digital poems, data collection, interactive poem, rhythm, rhetoric composition, hypertextual"
"La femme qui ne supportait pas les ordinateurs","Chine Lanzmann",1986,"10/25/2018 - 14:50","interactive fiction, video game, computer game, france, multiple endings, sexual harassements, cyber-culture, game, immersive, chat, interactive"
"Against E-Poets","Piotr Marecki, Augustina Woodgate",2015,"04/27/2018 - 16:12","performances, reading, hybrid talks, decentering digital media, English, hegemony, trolling, trolling performance, gombrowicz"
"Peiper (Estimote Bacons)","Piotr Marecki, Jan K. Argasiński",2017,"11/04/2018 - 13:16","interactive, poetry, text generator, rewriting, Poland"
"The Required Field","Jason Nelson",2015,"11/22/2019 - 20:18","digital poetry, interactive fiction, digital creature, magical wonderment, interactive poetry, netart, bureaucracy, remix, kafkaesque"
"You Suck at Photoshop","Troy Hitch, Matt Bledsoe",2007,"08/25/2018 - 11:53","video, tutorials, photoshop, parody"
@bronxzooscobra,,2011,"11/07/2019 - 17:51","twitter, twitterature, netprov"
"The Right Sort","David Stephen Mitchell",2014,"04/27/2018 - 15:32",
"Fried Kiełbasa (Crazy demo)","Piotr Marecki, Yerzmyey, Leszek Onak, Jan K. Argasiński",,"04/27/2018 - 15:31","demosplah, demoparty, demoscene, demo, crazy demo, wild demo, ubu lab, geek, carnegie mellon university"
"Cryptext and Nomencluster","Jason Nelson",,"04/27/2018 - 15:32","digital poetry, interactive fiction, touchscreens, touch-based interactivity, digital creature, magical wonderment"
"Black Box","Jennifer Egan",2012,"04/27/2018 - 15:27",
"Wiersze za sto dolarów / One hundered dollars poems","Piotr Marecki",2017,"04/27/2018 - 15:07","crowdsourcing, crowdsourced poetry, decentering digital media, amazon mechanical turk, amazon, platform capitalism"
"Pierre Menard, Author of the Quixote","Jorge Luis Borges",1939,"04/27/2018 - 14:45",
"Et puis, tu meurs","Jason Nelson",2016,"04/27/2018 - 14:53","language translation, digital poetry, generative fiction, interactive fiction, art-game, digital creature, magical wonderment"
Air-B-N-Me,"Rob Wittig, Mark C. Marino",2016,"11/11/2019 - 14:43","netprov, performance, network narrative, collaboration"
"Nine Billion Branches","Jason Nelson",2017,"11/04/2018 - 12:37","digital poetry, interactive poetry, interactive fiction, net art, digital creature, magical wonderment, electronic literature"
"Colors (Strictly Hip-Hop)","Annette Knol",2010,"04/27/2018 - 14:18",
"Gdzie w tym wszystkim jest Bóg ? / Where is God in all of this?","Piotr Marecki, Jan K. Argasiński",2017,"10/26/2018 - 13:14","text generator, generator tekstu, Java, Polish culture, avant-garde, electronic literature, uncreative writing, conceptual literature, procedural writing, Google Translate, amazon mechanical turk"
"The Stoberskiade / Stoberskiada","Piotr Marecki, Katarzyna Janota",2013,"04/27/2018 - 11:05","experimental literature, stickers novel, distributive narrative, QR code, augmented book, literature in public space, biography, non-fiction literature"
"Heating Season","Piotr Marecki",2018,"04/27/2018 - 11:04","conceptual literature, database"
"113983 (wild demo)","Piotr Marecki",2017,"11/13/2018 - 03:04","text generation, appropriated text, demo, wild demo, uncreative writing, big-data poetry, data collection, data narrative, database poem"
"Robbo. Walkthrough","Piotr Marecki, Wojciech Bocianu Bociański, Lisu, Piotr Kroll Mietniowski, Krzysztof Kaz Ziembik",2018,"04/27/2018 - 11:04","text generator, wild demo, demoscene, games, 8bit, atari, retro computing, mad pascal, demo"
"Sentaniz Nimerik",BIC,2017,"11/04/2018 - 16:07","storytelling, poetry, rewriting"
2x6,"Nick Montfort, Serge Bouchardon, Carlos León, Natalia Fedorova, Andrew Campana, Aleksandra Małecka, Piotr Marecki",2016,"11/04/2018 - 19:27","languages, stories, translations, computer generated text"
"Postmodern: An Anagrammatic Slideshow Fiction","Richard Holeton",2017,"12/06/2019 - 06:41","anagram, postmodern, image and text, appropriation"
Autopia,"Nick Montfort",2016,"10/26/2018 - 13:07","algorithmic text generation, poetry, semantic grammar, trade names, non-interactive, car names, text-to-speech, sound, soundless, endless traffic"
"The Truelist","Nick Montfort",2017,"10/02/2019 - 12:20","computer-generated poetry, sizecoding, poetry, compound words, imagination, landscapes, computer generator, English, open-source, adaptation"
"Mrs. Wobbles and the Tangerine House","Marino Family, Mark C. Marino",2013,"11/11/2019 - 15:23","children e-lit, children’s electronic literature, Children's E-lit, interactive fiction"
"An Ocean of Static","J. R. Carpenter",2018,"10/31/2018 - 15:15","print, print publishing, bookbound poetry, poetry, code poetry, poetics, performance script, page based poetry, recreation"
"Mrs. Wobbles and the Tangerine House: Spy Eye","Mark C. Marino, Marino Family",2018,"11/03/2018 - 11:58","childrens' literature, interactive fiction, adoption, fictional narrative, choice-based tale"
"Thanner Kuhai - 'The Water Cave'","Andy Campbell",2018,"11/03/2018 - 17:14","digital poetry, poetry, depression, hope, nature, interactive, water, escape, Tamil, English"
"This is a Picture of Wind: A Weather Poem for Phones","J. R. Carpenter",2018,"03/04/2020 - 22:50","web-based, iOS, web application, wind, weather, variability, environmental humanities"
"A veces cubierto por las aguas","Carlos Cociña",1999,"01/10/2018 - 16:05",
"Clickable poem@s","Luis Correa-Díaz",2012,"01/10/2018 - 16:06",
PhoneBook,"Yuki Kishi, Saori Watanabe, Shinya Kishiro",2009,"04/06/2018 - 19:02","communication channels, children apps, educational"
"The Night of the Living Dead Pixels","Marie Etienne",2010,"12/06/2017 - 20:53","artist book, art and video"
Seeking,"Rob Swigart",2007,"12/06/2017 - 20:23","short-story, comedy"
"Half Life","Shelley Jackson",,"12/06/2017 - 20:01",
"Prisons: Inside the New America","David Matlin",,"12/06/2017 - 19:47",
"Робот Сергей Дацюк™ Предприятие ритуального обслуживания",,1998,"11/30/2017 - 14:08",
HPML,,1998,"11/30/2017 - 14:10",
"Съедение Сорокина",,1998,"11/30/2017 - 14:11",
"Наша Таня громко плачет",,1998,"11/30/2017 - 14:11",
"HEM ART",,1998,"11/30/2017 - 14:11",
"Краткая история жизни на Луне",,1998,"11/30/2017 - 14:14",
"Белый билет",,1998,"11/30/2017 - 14:14",
"Сто историй про Ымз и Якст или Загадочная Радость Бытия",,,"11/30/2017 - 14:14",
"На пути из Ямато в Ниппон",,1998,"11/30/2017 - 14:16",
Свалка,"Yulia Morozova, Mikhail Viesel, Maksim Borisov",1998,"04/30/2018 - 02:55","short story"
"Бабицкий и Корефанов",,1998,"11/30/2017 - 14:26",
Пересечения,"Georgy Zherdev",,"11/30/2017 - 14:25",
"Мой архитектор",,1998,"11/30/2017 - 14:25",
"Превратности кочевой жизни",,1998,"11/30/2017 - 14:25",
"Штирлиц на Капри",Aleksroma,2000,"11/30/2017 - 14:24",
СИСТЕМА,,2000,"11/30/2017 - 14:24",
Мультимидия,,2000,"11/30/2017 - 14:24",
"Цивилизация странников",,2000,"11/30/2017 - 14:24",
Точка,,2000,"11/30/2017 - 14:24",
"Аэропорт: комок сонетов",,2000,"11/29/2017 - 03:22",
"Три истории об одном случае",,2000,"11/29/2017 - 03:22",
"День Ллойгора",,2000,"11/29/2017 - 03:19",hypertext
Гипертекст,,2000,"11/29/2017 - 03:18",hypertext
"Зови меня Рабин",,,"11/29/2017 - 03:15","hypertext fiction"
Осколки,,2000,"11/29/2017 - 03:12","hypertext fiction"
"Проект: Иннокентий Марпл",,2002,"11/29/2017 - 02:57","hypertext fiction"
"Лимерическая картина мира","Aleksroma, Viktor Smolny",2002,"11/29/2017 - 02:51",
Bagatelles,"Vika Ryabova",2002,"11/29/2017 - 02:48",
"Последняя стадия божьей коровки",Aleksroma,2002,"11/29/2017 - 01:45",
